"","section","count","min_prison_time","mean_prison_time","median_prison_time","max_prison_time","sd_prison_time","share_prison_time"
"1","convicted_stay_of_execution_.conditional_imprisonment_.",167,0,75.0059880239521,24,1170,156.448324622479,0.946107784431138
"2","convicted_bodily_injury",302,0,175.132450331126,120,1710,187.093476929556,0.877483443708609
"3","convicted_drug_offense",570,0,183.029824561404,45,3240,381.746445753346,0.735087719298246
"4","convicted_illegal_arming_in_a_public_place",187,0,138.026737967914,60,1440,210.748880611705,0.81283422459893
"5","convicted_participation",229,0,236.410480349345,90,2520,407.562853912965,0.794759825327511
"6","convicted_courtesy",86,0,148.802325581395,77.5,720,174.568767489386,0.77906976744186
"7","convicted_general_violation_of_traffic_act_1",1997,0,51.6649974962444,24,1710,106.663642854895,0.872308462694041
"8","convicted_drinking_within_six_hours_of_traffic_investigation",1451,0,52.184011026878,24,1710,105.095319194483,0.906271536871123
"9","convicted_acquisition_possession_and_use_of_drugs",498,0,78.3273092369478,24,1440,167.114134955125,0.865461847389558
"10","convicted_section_24_of_the_medicines_act_other",482,0,75.1473029045643,24,1440,156.536383564349,0.865145228215768
"11","convicted_sentencing_beyond_the_maximum_sentence_.multiple_offences_repeat_offences_organized_crime.",1294,0,104.318392581144,30,3420,260.339855848316,0.810664605873261
"12","convicted_road_traffic_act_other_1",266,0,43.7669172932331,20,480,76.8357117460213,0.75187969924812
"13","convicted_violating_traffic_signage_act",253,0,42.6521739130435,20,450,73.2484192175804,0.754940711462451
"14","convicted_temporary_suspension_of_driving_lisence",798,0,82.0852130325815,36,1710,142.561027041083,0.882205513784461
"15","convicted_assault_and_battery",613,0,86.1207177814029,45,1710,146.03257015884,0.781402936378467
"16","convicted_reckless_behavior",122,0,85.327868852459,45,840,114.675787512891,0.754098360655738
"17","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint",154,0,152.805194805195,95,990,179.335814470849,0.87012987012987
"18","convicted_damage",184,0,92.7989130434783,45,720,123.329306383437,0.771739130434783
"19","convicted_threats",276,0,90.2028985507246,45,780,119.523426957094,0.811594202898551
"20","convicted_grievous_bodily_harm",52,0,425.192307692308,285,2340,426.740911361758,0.903846153846154
"21","convicted_serious_drug_offense",147,0,597.142857142857,360,3420,711.58899942986,0.761904761904762
"22","convicted_aggravated_assault",74,0,121.202702702703,90,720,123.655949978956,0.837837837837838
"23","convicted_intention_of_committing_an_offens",59,0,189.830508474576,120,1380,257.155873335836,0.76271186440678
"24","convicted_theft",319,0,116.761755485893,60,1440,181.569311171169,0.755485893416928
"25","convicted_road_traffic_act_other_5",110,0,129.090909090909,45,1440,208.68318226153,0.845454545454545
"26","convicted_violating_basic_traffic_rules",265,0,77.0377358490566,27,1440,156.052312793459,0.811320754716981
"27","convicted_loss_of_the_right_to_drive_a_motor_vehicle.",282,0,35.8900709219858,21.5,690,64.7196415372234,0.875886524822695
"28","convicted_obstruction_of_a_public_official",206,0,57.9757281553398,24,540,90.4062073910472,0.723300970873786
"29","convicted_aggravated_theft",74,0,209.608108108108,150,1080,232.262830429476,0.810810810810811
"30","convicted_fraud",260,0,64.6730769230769,30,1080,128.510643032923,0.711538461538462
"31","convicted_judgment_in_arrears",66,0,181.5,54,2160,378.587425123364,0.848484848484849
"32","convicted_abuse_in_close_relationships",70,0,372.514285714286,360,1500,289.387496242264,0.857142857142857
"33","convicted_violence_threats_vandalism_or_other_unlawful_conduct_against_a_public_official",659,0,56.0121396054628,22,1080,101.482490613102,0.804248861911988
"34","convicted_violation_of_police_act",151,0,70.1258278145695,24,1500,161.364031706192,0.814569536423841
"35","convicted_serious_fraud",97,0,105.556701030928,55,1080,173.337818596145,0.814432989690722
"36","convicted_disorderly_conduct",148,0,45.8851351351351,22.5,720,84.6963783890817,0.716216216216216
"37","convicted_minor_theft",81,0,87.5185185185185,45,570,109.326816370814,0.802469135802469
"38","convicted_unauthorized_entry_or_stay",80,0,113.6625,60,690,145.157439079963,0.8
"39","convicted_theft_of_motor_vehicles_etc",76,0,149.144736842105,65,840,191.518542458069,0.763157894736842
"40","convicted_road_traffic_act_other_4",63,0,99.8730158730159,30,690,151.220464145041,0.857142857142857
"41","convicted_incorrect_explanation",170,0,37.1529411764706,30,240,40.8543395773841,0.729411764705882
"42","convicted_document_forgery",51,0,124.588235294118,60,690,150.369036236931,0.901960784313726
"43","convicted_breach_of_the_duty_of_identification",98,0,81.0102040816326,30,1080,150.938472813314,0.806122448979592
"44","convicted_violation_in_prison",53,0,70.0566037735849,21,1080,160.650530308007,0.924528301886792
